num_date_time,answer
1_20220825 00,3039.5306089310625
1_20220825 01,3017.571046073862
1_20220825 02,2973.527349423447
1_20220825 03,2907.2344271716456
1_20220825 04,2912.4133316689713
1_20220825 05,2863.4803932654163
1_20220825 06,2834.2695136825914
1_20220825 07,2876.530460848895
1_20220825 08,2948.4570421503804
1_20220825 09,3042.467757245081
1_20220825 10,3129.2271556141577
1_20220825 11,3193.7373283818474
1_20220825 12,3120.1930894044217
1_20220825 13,3039.067350085029
1_20220825 14,2955.579535793152
1_20220825 15,3273.288939217002
1_20220825 16,3219.631850868478
1_20220825 17,3143.7255369185677
1_20220825 18,3151.43160819655
1_20220825 19,3144.30486240694
1_20220825 20,3137.1781166173305
1_20220825 21,3137.4677793615174
1_20220825 22,3130.341033571908
1_20220825 23,3093.7137454552885
1_20220826 00,2698.7064060422767
1_20220826 01,2679.274009965732
1_20220826 02,2682.0908394905746
1_20220826 03,2635.5199760595033
1_20220826 04,2633.447563831205
1_20220826 05,2668.292102463713
1_20220826 06,2629.1376475664374
1_20220826 07,2624.5380685574837
1_20220826 08,2760.685159882473
1_20220826 09,2973.19331970973
1_20220826 10,3131.4245448279344
1_20220826 11,3321.848570861976
1_20220826 12,3489.8582794864597
1_20220826 13,3601.2289784294076
1_20220826 14,3660.6848176357857
1_20220826 15,3747.4442160048625
1_20220826 16,3703.4005193544467
1_20220826 17,3609.8040379399476
1_20220826 18,3499.177756293544
1_20220826 19,3408.1084416597005
1_20220826 20,3272.8708594394266
1_20220826 21,3233.716404542151
1_20220826 22,3214.284008465606
1_20220826 23,3182.5459621021264
1_20220827 00,2782.649380935975
1_20220827 01,2829.799569855418
1_20220827 02,2583.3158596282124
1_20220827 03,2539.272162977797
1_20220827 04,2531.815233571845
1_20220827 05,2522.1613210015803
1_20220827 06,2502.5638331168648
1_20220827 07,2451.1037279326533
1_20220827 08,2609.1698612426867
1_20220827 09,2885.568347477104
1_20220827 10,3137.520624945823
1_20220827 11,3322.7252256103825
1_20220827 12,3362.789189612373
1_20220827 13,3471.6327217746643
1_20220827 14,3521.4751692829345
1_20220827 15,3605.7074008713557
1_20220827 16,3652.857589790799
1_20220827 17,3616.230301674179
1_20220827 18,3577.0758467769033
1_20220827 19,3439.1460059678025
1_20220827 20,3323.4653907600878
1_20220827 21,3217.7283508668243
1_20220827 22,3158.851837148818
1_20220827 23,3188.642042220015
1_20220828 00,2667.8859413488235
1_20220828 01,2643.3992117109674
1_20220828 02,2535.3000968452197
1_20220828 03,2491.0913083866335
1_20220828 04,2424.798386134831
1_20220828 05,2353.61622212989
1_20220828 06,2334.183826053345
1_20220828 07,2339.527822358842
1_20220828 08,2685.3662439862464
1_20220828 09,2952.151338522556
1_20220828 10,3105.493321887621
1_20220828 11,3315.6394067423935
1_20220828 12,3533.0368083227895
1_20220828 13,3656.713157552672
1_20220828 14,3701.501271499631
1_20220828 15,3771.065777828632
1_20220828 16,3867.6036597039883
1_20220828 17,3895.031789802701
1_20220828 18,3771.93476606119
1_20220828 19,3675.976209674207
1_20220828 20,3417.3519409682367
1_20220828 21,3323.920551361909
1_20220828 22,3289.6553382177735
1_20220828 23,3253.028050101154
1_20220829 00,3224.771359622441
1_20220829 01,3225.0610223666276
1_20220829 02,3227.8778518914696
1_20220829 03,3240.4731649225914
1_20220829 04,3233.3464191329817
1_20220829 05,3208.859689495126
1_20220829 06,3083.565682589303
1_20220829 07,2968.05015918976
1_20220829 08,2899.3951619654736
1_20220829 09,2907.101233243455
1_20220829 10,2902.501654234502
1_20220829 11,2976.955402316642
1_20220829 12,3031.5219997698814
1_20220829 13,3078.837280497496
1_20220829 14,3226.959838493078
1_20220829 15,3343.219779189165
1_20220829 16,3304.0653242918897
1_20220829 17,3375.6617219770324
1_20220829 18,3415.3955023626804
1_20220829 19,3354.15691367219
1_20220829 20,3354.446576416376
1_20220829 21,3374.458297981293
1_20220829 22,3337.8310098646734
1_20220829 23,3362.73197318273
1_20220830 00,2935.696924662053
1_20220830 01,2938.5137541868944
1_20220830 02,2837.831047854942
1_20220830 03,2645.9544559531314
1_20220830 04,2572.245125167534
1_20220830 05,2540.5070788040543
1_20220830 06,2540.7967415482403
1_20220830 07,2551.0299796068775
1_20220830 08,2553.8468091317195
1_20220830 09,2583.8021060110877
1_20220830 10,2613.7574028904555
1_20220830 11,2670.85116712435
1_20220830 12,2720.5285228244493
1_20220830 13,2711.039702062356
1_20220830 14,2753.3006492286595
1_20220830 15,2802.9780049287583
1_20220830 16,2805.7948344536
1_20220830 17,2820.917314265377
1_20220830 18,2855.7618528978846
1_20220830 19,2858.578682422727
1_20220830 20,2866.2847537007087
1_20220830 21,2893.712883799421
1_20220830 22,2928.557422431929
1_20220830 23,2968.291202817577
1_20220831 00,2568.394621651426
1_20220831 01,2583.5171014632033
1_20220831 02,2610.9452315619155
1_20220831 03,2638.3733616606282
1_20220831 04,2636.3009494323305
1_20220831 05,2631.7013704233764
1_20220831 06,2671.4351508090244
1_20220831 07,2679.141222087006
1_20220831 08,2728.818577787105
1_20220831 09,2785.9123420209994
1_20220831 10,2976.17127624687
1_20220831 11,3208.401494894858
1_20220831 12,3265.495259128752
1_20220831 13,3221.4515624783367
1_20220831 14,3278.545326712231
1_20220831 15,3305.973456810944
1_20220831 16,3291.5953942957103
1_20220831 17,3462.13226970085
1_20220831 18,3526.4773506603688
1_20220831 19,3371.3526178111924
1_20220831 20,3243.3663523165424
1_20220831 21,3194.2683221048155
1_20220831 22,3140.28105013995
1_20220831 23,3083.931703202599
2_20220825 00,3164.9902712610115
2_20220825 01,3143.0307084038113
2_20220825 02,3098.9870117533965
2_20220825 03,3032.694089501594
2_20220825 04,3037.8729939989207
2_20220825 05,2988.9400555953653
2_20220825 06,2959.729176012541
2_20220825 07,3001.9901231788444
2_20220825 08,3073.91670448033
2_20220825 09,3167.9274195750304
2_20220825 10,3254.6868179441067
2_20220825 11,3319.196990711797
2_20220825 12,3245.652751734371
